Device-ID/User-ID,Timestamp,Reminder Type,Scheduled Time,Reminder Sent (Yes/No),Acknowledged (Yes/No),Unnamed: 6,Day
D1184,1/30/2025 6:13,Hydration,11:30:00,No,No,,D19
D1185,1/20/2025 17:52,Appointment,21:00:00,Yes,No,,D19
D1186,1/7/2025 7:01,Exercise,13:30:00,No,No,,D19
D1187,1/30/2025 12:21,Medication,15:00:00,No,No,,D19
D1188,1/3/2025 19:13,Hydration,14:00:00,Yes,No,,D19
D1189,1/13/2025 12:48,Appointment,13:00:00,Yes,Yes,,D19
D1190,1/19/2025 13:18,Medication,17:30:00,No,No,,D20
D1191,1/6/2025 13:07,Exercise,14:30:00,No,No,,D20
D1192,1/12/2025 12:05,Appointment,7:30:00,Yes,Yes,,D20
D1193,1/21/2025 5:08,Hydration,14:00:00,No,No,,D20
D1194,1/3/2025 20:56,Exercise,16:30:00,Yes,Yes,,D20
D1195,1/11/2025 8:32,Medication,22:30:00,No,No,,D20
D1196,1/24/2025 8:01,Appointment,15:30:00,No,No,,D20
D1197,1/14/2025 8:56,Medication,13:00:00,Yes,Yes,,D20
D1198,1/11/2025 15:04,Exercise,14:00:00,No,No,,D20
D1199,1/4/2025 16:51,Exercise,14:30:00,No,No,,D20
D1200,1/12/2025 1:04,Hydration,13:30:00,No,No,,D21
D1201,1/2/2025 6:18,Appointment,6:00:00,No,No,,D21
D1202,1/1/2025 0:10,Hydration,10:00:00,No,No,,D21
D1203,1/8/2025 15:42,Hydration,21:30:00,No,No,,D21
D1204,1/18/2025 19:48,Medication,18:00:00,Yes,Yes,,D21
D1205,1/4/2025 7:45,Medication,15:30:00,Yes,Yes,,D21
D1206,1/25/2025 13:38,Appointment,10:00:00,No,No,,D21
D1207,1/5/2025 9:24,Medication,21:30:00,No,No,,D21
D1208,1/30/2025 7:46,Exercise,8:30:00,Yes,Yes,,D21
D1209,1/12/2025 1:58,Medication,9:00:00,Yes,Yes,,D21
D1210,1/12/2025 21:23,Hydration,14:30:00,No,No,,D22
D1211,1/21/2025 12:19,Hydration,12:00:00,No,No,,D22
D1212,1/20/2025 9:39,Appointment,10:00:00,Yes,Yes,,D22
D1213,1/23/2025 11:51,Medication,8:00:00,No,No,,D22
D1214,1/17/2025 21:39,Appointment,14:00:00,No,No,,D22
D1215,1/10/2025 23:30,Appointment,15:30:00,No,No,,D22
D1216,1/16/2025 22:06,Appointment,13:30:00,No,No,,D22
D1217,1/8/2025 20:15,Medication,21:30:00,No,No,,D22
D1218,1/15/2025 12:57,Appointment,22:00:00,No,No,,D22
D1219,1/12/2025 11:26,Exercise,16:30:00,Yes,Yes,,D22
D1220,1/18/2025 7:35,Hydration,8:00:00,Yes,No,,D23
D1221,1/3/2025 6:59,Hydration,14:30:00,No,No,,D23
D1222,1/19/2025 20:35,Appointment,16:30:00,Yes,Yes,,D23
D1223,1/18/2025 3:18,Appointment,9:30:00,No,No,,D23
D1224,1/20/2025 7:43,Hydration,11:30:00,Yes,Yes,,D23
D1225,1/22/2025 19:55,Hydration,14:30:00,No,No,,D23
D1226,1/17/2025 15:35,Exercise,20:30:00,Yes,Yes,,D23
D1227,1/7/2025 18:32,Hydration,12:00:00,No,No,,D23
D1228,1/25/2025 21:15,Medication,16:30:00,No,No,,D23
D1229,1/2/2025 22:22,Appointment,16:30:00,No,No,,D23
D1230,1/8/2025 16:44,Medication,17:30:00,Yes,Yes,,D24
D1231,1/10/2025 8:26,Appointment,15:00:00,No,No,,D24
D1232,1/16/2025 1:35,Appointment,14:00:00,Yes,Yes,,D24
D1233,1/5/2025 1:17,Hydration,21:30:00,No,No,,D24
D1234,1/20/2025 20:21,Appointment,11:00:00,Yes,Yes,,D24
D1235,1/12/2025 14:48,Appointment,20:00:00,No,No,,D24
D1236,1/10/2025 18:21,Exercise,20:30:00,No,No,,D24
D1237,1/20/2025 8:20,Medication,19:00:00,No,No,,D24
D1238,1/9/2025 8:14,Medication,19:00:00,No,No,,D24
D1239,1/2/2025 17:21,Appointment,16:00:00,Yes,Yes,,D24
D1240,1/23/2025 19:41,Exercise,6:00:00,Yes,Yes,,D25
D1241,1/16/2025 6:30,Exercise,11:30:00,Yes,Yes,,D25
D1242,1/11/2025 16:48,Hydration,22:30:00,No,No,,D25
D1243,1/17/2025 19:27,Exercise,19:00:00,No,No,,D25
D1244,1/14/2025 9:39,Medication,14:30:00,No,No,,D25
D1245,1/28/2025 1:51,Appointment,20:00:00,Yes,Yes,,D25
D1246,1/25/2025 22:09,Hydration,15:30:00,No,No,,D25
D1247,1/24/2025 15:06,Hydration,18:30:00,Yes,Yes,,D25
D1248,1/7/2025 8:54,Exercise,18:00:00,No,No,,D25
D1249,1/22/2025 21:25,Hydration,10:00:00,Yes,Yes,,D25
D1250,1/23/2025 22:08,Appointment,20:00:00,Yes,Yes,,D26
D1251,1/12/2025 10:52,Exercise,18:00:00,No,No,,D26
D1252,1/24/2025 3:33,Appointment,14:30:00,No,No,,D26
D1253,1/5/2025 7:07,Medication,15:30:00,Yes,Yes,,D26
D1254,1/11/2025 11:29,Appointment,6:00:00,No,No,,D26
D1255,1/20/2025 19:28,Medication,8:00:00,Yes,Yes,,D26
D1256,1/7/2025 16:46,Medication,21:30:00,No,No,,D26
D1257,1/14/2025 7:25,Medication,16:00:00,No,No,,D26
D1258,1/2/2025 1:15,Exercise,20:00:00,No,No,,D26
D1259,1/7/2025 12:02,Appointment,19:30:00,No,No,,D26
D1260,1/26/2025 19:14,Medication,6:30:00,No,No,,D27
D1261,1/17/2025 3:21,Exercise,16:00:00,No,No,,D27
D1262,1/29/2025 18:46,Hydration,16:30:00,Yes,Yes,,D27
D1263,1/5/2025 4:04,Hydration,19:30:00,No,No,,D27
D1264,1/3/2025 17:34,Hydration,10:30:00,Yes,Yes,,D27
D1265,1/17/2025 8:47,Hydration,9:30:00,No,No,,D27
D1266,1/26/2025 9:53,Hydration,10:30:00,Yes,Yes,,D27
D1267,1/14/2025 9:45,Medication,14:00:00,Yes,No,,D27
D1268,1/15/2025 0:00,Appointment,7:30:00,No,No,,D27
D1269,1/6/2025 2:15,Appointment,11:30:00,Yes,Yes,,D27
D1270,1/20/2025 21:39,Medication,11:00:00,No,No,,D28
D1271,1/29/2025 0:31,Medication,12:30:00,Yes,Yes,,D28
D1272,1/8/2025 11:00,Exercise,10:30:00,No,No,,D28
D1273,1/3/2025 22:02,Exercise,6:00:00,Yes,Yes,,D28
D1274,1/21/2025 18:26,Appointment,14:30:00,No,No,,D28
D1275,1/18/2025 4:05,Exercise,13:30:00,Yes,No,,D28
D1276,1/18/2025 23:01,Exercise,19:30:00,Yes,No,,D28
D1277,1/17/2025 12:22,Appointment,13:00:00,Yes,Yes,,D28
D1278,1/9/2025 16:25,Appointment,8:30:00,Yes,No,,D28
D1279,1/12/2025 8:56,Hydration,21:00:00,No,No,,D28
D1280,1/26/2025 10:03,Hydration,18:00:00,Yes,No,,D29
D1281,1/4/2025 5:44,Exercise,19:00:00,No,No,,D29
D1282,1/7/2025 7:00,Exercise,18:30:00,No,No,,D29
D1283,1/13/2025 1:03,Medication,20:30:00,Yes,No,,D29
D1284,1/2/2025 10:15,Hydration,12:30:00,No,No,,D29
D1285,1/13/2025 0:59,Appointment,8:30:00,Yes,Yes,,D29
D1286,1/11/2025 5:06,Appointment,20:00:00,Yes,No,,D29
D1287,1/14/2025 19:32,Medication,6:30:00,Yes,Yes,,D29
D1288,1/27/2025 12:22,Hydration,13:00:00,Yes,Yes,,D29
D1289,1/12/2025 23:46,Medication,6:30:00,No,No,,D29
D1290,1/14/2025 23:48,Hydration,14:30:00,No,No,,D30
D1291,1/17/2025 23:53,Medication,13:30:00,No,No,,D30
D1292,1/18/2025 14:19,Exercise,10:30:00,Yes,Yes,,D30
D1293,1/21/2025 14:35,Appointment,9:30:00,Yes,No,,D30
D1294,1/2/2025 1:14,Hydration,16:00:00,Yes,Yes,,D30
D1295,1/24/2025 19:42,Hydration,9:30:00,No,No,,D30
D1296,1/8/2025 14:53,Exercise,10:30:00,Yes,No,,D30
D1297,1/26/2025 21:13,Exercise,14:30:00,Yes,Yes,,D30
D1298,1/8/2025 6:18,Hydration,10:00:00,No,No,,D30
D1299,1/4/2025 17:08,Medication,15:30:00,Yes,Yes,,D30
D1300,1/1/2025 3:59,Appointment,14:00:00,No,No,,D31
D1301,1/13/2025 12:45,Appointment,21:00:00,Yes,Yes,,D31
D1302,1/19/2025 22:55,Exercise,13:30:00,Yes,Yes,,D31
D1303,1/22/2025 9:26,Exercise,18:30:00,No,No,,D31
D1304,1/16/2025 20:47,Appointment,14:00:00,No,No,,D31
D1305,1/19/2025 23:59,Exercise,18:30:00,Yes,Yes,,D31
D1306,1/6/2025 5:59,Exercise,19:30:00,No,No,,D31
D1307,1/25/2025 3:31,Appointment,16:30:00,No,No,,D31
D1308,1/6/2025 21:45,Medication,22:30:00,Yes,No,,D31
D1309,1/7/2025 2:45,Exercise,18:30:00,Yes,Yes,,D31
D1310,1/19/2025 10:13,Appointment,15:30:00,Yes,Yes,,D32
D1311,1/5/2025 13:22,Hydration,8:30:00,No,No,,D32
D1312,1/18/2025 3:36,Hydration,20:30:00,Yes,Yes,,D32
D1313,1/6/2025 3:43,Hydration,9:30:00,No,No,,D32
D1314,1/3/2025 15:22,Hydration,18:30:00,No,No,,D32
D1315,1/9/2025 3:36,Hydration,20:00:00,No,No,,D32
D1316,1/17/2025 0:40,Hydration,21:00:00,No,No,,D32
D1317,1/7/2025 13:21,Exercise,8:30:00,Yes,Yes,,D32
D1318,1/9/2025 6:42,Hydration,17:30:00,No,No,,D32
D1319,1/26/2025 3:24,Hydration,13:30:00,No,No,,D32
D1320,1/7/2025 13:14,Hydration,14:30:00,Yes,Yes,,D33
D1321,1/10/2025 10:40,Medication,20:30:00,No,No,,D33
D1322,1/22/2025 17:05,Exercise,22:00:00,No,No,,D33
D1323,1/20/2025 1:57,Appointment,20:30:00,No,No,,D33
D1324,1/2/2025 2:57,Hydration,12:30:00,No,No,,D33
D1325,1/19/2025 23:43,Exercise,18:00:00,No,No,,D33
D1326,1/16/2025 23:43,Medication,22:00:00,Yes,Yes,,D33
D1327,1/13/2025 16:02,Appointment,16:30:00,Yes,Yes,,D33
D1328,1/19/2025 22:32,Exercise,20:30:00,Yes,Yes,,D33
D1329,1/4/2025 7:17,Appointment,12:00:00,No,No,,D33
D1330,1/9/2025 21:11,Medication,10:30:00,No,No,,D34
D1331,1/16/2025 9:09,Appointment,12:00:00,No,No,,D34
D1332,1/2/2025 8:40,Appointment,18:30:00,Yes,Yes,,D34
D1333,1/20/2025 22:16,Hydration,8:00:00,Yes,Yes,,D34
D1334,1/17/2025 10:21,Medication,16:00:00,Yes,Yes,,D34
D1335,1/20/2025 22:49,Appointment,14:00:00,Yes,Yes,,D34
D1336,1/7/2025 11:15,Medication,6:30:00,No,No,,D34
D1337,1/10/2025 3:13,Exercise,12:00:00,Yes,No,,D34
D1338,1/10/2025 22:04,Exercise,8:00:00,Yes,No,,D34
D1339,1/11/2025 6:44,Medication,21:30:00,Yes,No,,D34
D1340,1/3/2025 1:46,Medication,19:00:00,Yes,Yes,,D35
D1341,1/22/2025 9:15,Exercise,12:30:00,Yes,Yes,,D35
D1342,1/21/2025 20:09,Exercise,21:00:00,Yes,No,,D35
D1343,1/29/2025 21:04,Medication,8:30:00,Yes,Yes,,D35
D1344,1/8/2025 3:55,Medication,14:30:00,No,No,,D35
D1345,1/10/2025 18:22,Exercise,16:00:00,No,No,,D35
D1346,1/29/2025 22:38,Hydration,19:30:00,No,No,,D35
D1347,1/27/2025 22:04,Medication,15:00:00,Yes,Yes,,D35
D1348,1/4/2025 10:40,Medication,12:30:00,Yes,Yes,,D35
D1349,1/12/2025 11:34,Medication,20:00:00,No,No,,D35
D1350,1/3/2025 6:23,Exercise,7:00:00,No,No,,D36
D1351,1/15/2025 10:31,Exercise,21:00:00,Yes,Yes,,D36
D1352,1/17/2025 9:54,Medication,18:00:00,Yes,Yes,,D36
D1353,1/12/2025 23:16,Exercise,9:00:00,No,No,,D36
D1354,1/4/2025 21:27,Medication,14:00:00,Yes,Yes,,D36
D1355,1/9/2025 7:03,Medication,20:30:00,Yes,Yes,,D36
D1356,1/12/2025 13:06,Hydration,11:30:00,Yes,No,,D36
D1357,1/10/2025 11:18,Medication,11:30:00,No,No,,D36
D1358,1/4/2025 7:36,Hydration,11:30:00,No,No,,D36
D1359,1/23/2025 19:36,Hydration,14:30:00,No,No,,D36
D1360,1/22/2025 18:41,Appointment,17:30:00,No,No,,D37
D1361,1/1/2025 6:34,Hydration,12:00:00,No,No,,D37
D1362,1/5/2025 10:51,Medication,7:00:00,No,No,,D37
D1363,1/21/2025 12:16,Exercise,20:00:00,Yes,Yes,,D37
D1364,1/27/2025 22:59,Hydration,8:30:00,No,No,,D37
D1365,1/6/2025 18:50,Medication,14:30:00,No,No,,D37
D1366,1/20/2025 0:15,Medication,6:30:00,No,No,,D37
D1367,1/2/2025 20:12,Medication,15:30:00,Yes,Yes,,D37
D1368,1/21/2025 1:35,Hydration,12:00:00,Yes,Yes,,D37
D1369,1/26/2025 15:49,Hydration,21:30:00,No,No,,D37
D1370,1/11/2025 15:51,Appointment,13:00:00,No,No,,D38
D1371,1/18/2025 1:31,Appointment,21:00:00,No,No,,D38
D1372,1/11/2025 9:42,Exercise,20:30:00,Yes,No,,D38
D1373,1/18/2025 13:54,Appointment,20:30:00,No,No,,D38
D1374,1/13/2025 15:21,Hydration,14:00:00,Yes,No,,D38
D1375,1/22/2025 4:37,Exercise,8:00:00,No,No,,D38
D1376,1/19/2025 15:49,Exercise,8:30:00,No,No,,D38
D1377,1/6/2025 8:07,Hydration,18:30:00,No,No,,D38
D1378,1/30/2025 7:31,Medication,17:30:00,Yes,Yes,,D38
D1379,1/30/2025 2:30,Exercise,19:30:00,No,No,,D38
D1380,1/30/2025 9:11,Medication,17:30:00,No,No,,D39
D1381,1/23/2025 7:59,Appointment,16:30:00,No,No,,D39
D1382,1/27/2025 12:56,Medication,10:30:00,Yes,Yes,,D39
D1383,1/4/2025 12:40,Exercise,16:00:00,Yes,Yes,,D39
D1384,1/30/2025 21:40,Hydration,8:00:00,Yes,Yes,,D39
D1385,1/4/2025 12:20,Appointment,13:30:00,No,No,,D39
D1386,1/27/2025 20:38,Exercise,6:30:00,Yes,Yes,,D39
D1387,1/1/2025 15:39,Medication,7:00:00,Yes,Yes,,D39
D1388,1/28/2025 18:32,Appointment,17:00:00,No,No,,D39
D1389,1/20/2025 3:07,Exercise,19:00:00,No,No,,D39
D1390,1/11/2025 2:51,Hydration,17:00:00,Yes,Yes,,D40
